System Initializing...
Keep airflow OFF and system STILL for calibration...
Raw,Delta,Flow,TempC,AccX,AccY,AccZ
1239311,0,0.00,32.4,594,397,364
1238966,0,0.00,32.5,548,397,365
1238654,0,0.00,32.4,540,397,365
1238363,0,0.00,32.5,574,397,364
1238103,0,0.00,32.4,583,397,364
1237892,0,0.00,32.4,537,397,364
1237695,0,0.00,32.4,548,397,365
1237510,0,0.00,32.4,591,397,364
1237363,0,0.00,32.3,557,397,364
1237190,0,0.00,32.3,537,397,365
1237016,0,0.00,32.3,564,397,365
1236879,0,0.00,32.3,589,396,365
1236759,0,0.00,32.4,542,397,365
1236669,0,0.00,32.3,544,397,365
1236550,0,0.00,32.3,582,397,364
1236451,0,0.00,32.3,569,397,365
1236374,0,0.00,32.3,535,396,364
1236288,0,0.00,32.3,555,398,365
1236237,0,0.00,32.3,592,398,366
1236213,0,0.00,32.3,547,399,366
1236132,0,0.00,32.2,540,398,366
1236080,0,0.00,32.3,575,399,365
1235984,0,0.00,32.3,581,398,366
1235929,0,0.00,32.2,537,398,366
1235972,0,0.00,32.2,549,398,366
1235958,0,0.00,32.2,591,398,365
1235924,0,0.00,32.3,555,398,365
1235914,0,0.00,32.2,537,398,366
1235905,0,0.00,32.2,566,398,366
1235876,0,0.00,32.2,587,398,366
1235861,0,0.00,32.2,540,398,366
1235922,0,0.00,32.3,545,398,366
1235897,0,0.00,32.2,584,398,366
1235858,0,0.00,32.2,566,398,366
1235878,0,0.00,32.2,535,399,365
1235917,0,0.00,32.1,556,398,366
1235963,0,0.00,32.1,591,399,366
1235999,0,0.00,32.1,545,398,366
1236026,0,0.00,32.2,540,398,365
1236044,0,0.00,32.1,577,398,366
1236104,0,0.00,32.1,579,398,366
1236140,0,0.00,32.1,535,398,366
1236165,0,0.00,32.1,550,398,365
1236166,0,0.00,32.1,592,398,366
1236173,0,0.00,32.1,552,399,366
1236195,0,0.00,32.0,537,398,366
1236298,0,0.00,32.0,568,398,366
1236410,0,0.00,32.0,586,398,365
1236453,0,0.00,32.0,539,398,366
1236482,0,0.00,32.0,545,398,366
1236526,0,0.00,32.0,587,397,365
1236566,0,0.00,32.1,563,398,366
1236623,0,0.00,32.0,535,398,365
1236660,0,0.00,32.0,558,398,365
1236720,0,0.00,32.0,590,398,366
1236761,0,0.00,31.9,543,398,365
1236806,0,0.00,32.0,540,398,366
1236882,0,0.00,31.9,579,398,366
1236954,0,0.00,32.0,576,398,365
1237075,0,0.00,31.9,534,398,366
1237129,0,0.00,32.0,552,398,365
1237181,0,0.00,31.9,594,398,365
1237206,0,0.00,32.0,550,398,366
1237268,0,0.00,31.9,538,398,365
1237388,0,0.00,31.8,571,398,365
1237439,0,0.00,31.9,584,398,366
1237509,0,0.00,31.8,537,397,366
1237576,0,0.00,31.9,546,397,365
1237655,0,0.00,31.8,589,398,365
1237728,0,0.00,31.8,559,398,365
1237807,0,0.00,31.9,535,398,365
1237848,0,0.00,31.9,562,398,365
1237921,0,0.00,31.8,589,398,365
1238001,0,0.00,31.9,541,398,366
1238087,0,0.00,31.8,541,397,365
1238204,0,0.00,31.8,581,398,366
1238274,0,0.00,31.8,572,398,365
1238330,0,0.00,31.8,533,398,365
1238404,0,0.00,31.8,553,398,366
1238531,0,0.00,31.8,592,398,365
1238610,0,0.00,31.8,547,398,365
1238621,0,0.00,31.8,538,398,365
1238720,0,0.00,31.8,572,398,365
1238796,0,0.00,31.8,582,398,366
1238909,0,0.00,31.8,535,398,365
1239024,0,0.00,31.8,546,398,365
1239069,0,0.00,31.8,589,398,366
1239152,0,0.00,31.7,557,398,365
1239226,0,0.00,31.8,534,398,366
1239295,0,0.00,31.7,562,398,365
1239372,0,0.00,31.8,588,398,365
1239454,0,0.00,31.8,540,398,366
1239548,0,0.00,31.7,540,398,365
1239609,0,0.00,31.7,581,398,365
1239711,0,0.00,31.7,571,397,365
1239794,0,0.00,31.7,532,398,365
1239894,0,0.00,31.8,553,398,365
1240011,0,0.00,31.7,591,398,365
1240100,0,0.00,31.6,545,397,366
1240174,0,0.00,31.7,537,398,365
1240277,0,0.00,31.7,572,398,366
1240383,0,0.00,31.7,580,398,366
1240469,0,0.00,31.6,534,398,366
1240500,0,0.00,31.6,546,398,366
1240587,0,0.00,31.7,589,398,365
1240743,0,0.00,31.6,554,398,365
1240853,0,0.00,31.6,534,398,366
1240917,0,0.00,31.7,563,397,365
1240971,0,0.00,31.6,587,398,366
1241056,0,0.00,31.6,538,398,365
1241164,0,0.00,31.6,541,398,366
1241231,0,0.00,31.6,581,398,365
1241307,0,0.00,31.6,568,397,366
1241421,0,0.00,31.6,532,398,365
1241531,0,0.00,31.6,552,398,365
1241636,0,0.00,31.6,591,398,365
1241698,0,0.00,31.5,543,399,366
1241770,0,0.00,31.6,536,398,365
1241882,0,0.00,31.6,572,398,365
1241938,0,0.00,31.5,579,398,366
1242013,0,0.00,31.5,533,398,365
1242120,0,0.00,31.6,545,398,366
1242212,0,0.00,31.5,589,398,365
1242295,0,0.00,31.6,552,398,366
1242377,0,0.00,31.5,533,398,365
1242473,0,0.00,31.5,563,398,365
1242567,0,0.00,31.5,585,398,365
1242645,0,0.00,31.5,536,398,366
1242753,0,0.00,31.5,539,397,365
1242815,0,0.00,31.5,581,398,366
1242897,0,0.00,31.5,565,398,366
1242974,0,0.00,31.4,531,398,365
1243077,0,0.00,31.5,552,397,365
1243168,0,0.00,31.4,589,398,365
1243264,0,0.00,31.4,541,398,365
1243347,0,0.00,31.4,535,398,366
1243448,0,0.00,31.4,573,398,366
1243500,0,0.00,31.4,577,397,365
1243587,0,0.00,31.3,531,398,366
1243690,0,0.00,31.3,546,398,366
1243810,0,0.00,31.3,590,398,365
1243914,0,0.00,31.5,549,398,366
1243978,0,0.00,31.4,531,397,365
1244064,0,0.00,31.4,562,398,366
1244191,0,0.00,31.3,583,398,365
1244273,0,0.00,31.3,533,398,366
1244314,0,0.00,31.2,539,398,366
1244396,0,0.00,31.3,582,398,365
1244513,0,0.00,31.3,560,398,365
1244581,0,0.00,31.3,529,398,365
1244680,0,0.00,31.4,553,398,365
1244772,0,0.00,31.2,587,398,366
1244866,0,0.00,31.3,538,398,365
1244975,0,0.00,31.2,535,398,365
1245044,0,0.00,31.2,573,398,365
1245127,0,0.00,31.2,572,398,365
1245243,0,0.00,31.2,529,398,366
1245321,0,0.00,31.2,546,398,365
1245444,0,0.00,31.2,589,398,366
1245533,0,0.00,31.2,545,398,366
1245617,0,0.00,31.2,532,398,365
1245709,0,0.00,31.2,564,398,366
1245763,0,0.00,31.1,580,398,365
1245836,0,0.00,31.2,532,398,365
1245921,0,0.00,31.2,541,398,365
1246014,0,0.00,31.2,583,397,365
1246135,0,0.00,31.1,555,398,365
1246226,0,0.00,31.2,530,398,365
1246305,0,0.00,31.1,555,398,365
1246366,0,0.00,31.2,584,398,366
1246437,0,0.00,31.1,537,397,365
1246554,0,0.00,31.2,536,398,366
1246650,0,0.00,31.1,575,398,366
1246720,0,0.00,31.1,567,398,366
1246825,0,0.00,31.1,528,397,366
1246898,0,0.00,31.2,548,397,365
1246989,0,0.00,31.1,587,398,365
