System output with pulse of air occasionally
Raw,Delta,Flow,TempC,AccX,AccY,AccZ
1238543,130170,10.82,30.6,363,349,393
1297465,71248,7.58,31.8,366,349,392
1401338,0,5.30,32.0,364,349,391
1411150,0,3.71,32.1,364,350,391
1412752,0,2.60,32.0,365,349,391
1413055,0,1.82,32.2,364,349,392
1412947,0,1.27,32.1,364,349,391
1412719,0,0.89,32.1,364,349,391
1412479,0,0.62,32.2,364,349,391
1412213,0,0.44,32.1,364,349,392
1411999,0,0.31,32.0,364,349,392
1411813,0,0.21,31.9,364,349,391
1411549,0,0.15,32.0,364,349,391
1411432,0,0.10,32.0,364,349,392
1411344,0,0.07,32.0,365,349,391
1411247,0,0.05,32.0,364,349,391
1411207,0,0.04,31.9,364,349,391
1411176,0,0.03,31.8,364,349,391
1411169,0,0.02,31.8,364,349,391
1411191,0,0.01,31.8,364,349,391
1411264,0,0.01,31.8,364,349,391
1411307,0,0.01,31.6,364,350,391
1411355,0,0.00,31.6,365,349,391
1411421,0,0.00,31.6,364,349,391
1411564,0,0.00,31.5,364,349,391
1411647,0,0.00,31.5,364,349,391
1411750,0,0.00,31.6,364,349,391
1411911,0,0.00,31.6,364,349,391
1412038,0,0.00,31.4,364,349,391
1412163,0,0.00,31.4,364,349,391
1412362,0,0.00,31.5,364,350,391
1412499,0,0.00,31.4,364,349,391
1412625,0,0.00,31.4,364,349,390
1412793,0,0.00,31.3,364,349,391
1412941,0,0.00,31.3,364,349,391
1412989,0,0.00,31.1,364,349,391
1413224,0,0.00,31.2,365,350,392
1413213,0,0.00,31.2,366,351,390
1413508,0,0.00,31.7,364,350,391
1413882,0,0.00,32.8,365,350,391
1325215,43498,6.26,32.0,362,352,390
1256031,112682,10.07,31.8,363,349,391
1396437,0,7.05,32.1,365,349,391
1410589,0,4.93,32.1,365,350,391
1412564,0,3.45,32.1,365,349,390
1412985,0,2.42,32.1,365,350,390
1412993,0,1.69,32.1,365,350,391
1412839,0,1.18,32.0,364,350,390
1412633,0,0.83,32.0,365,349,391
1412432,0,0.58,32.0,365,349,390
1412249,0,0.41,32.0,365,349,390
1412093,0,0.28,31.9,365,350,391
1411998,0,0.20,31.9,365,349,391
1411885,0,0.14,31.9,365,350,391
1411800,0,0.10,31.9,365,349,391
1411788,0,0.07,31.8,365,349,391
1411744,0,0.05,31.8,367,352,393
1411725,0,0.03,31.7,367,352,393
1411723,0,0.02,31.8,366,351,392
1411798,0,0.02,31.8,367,350,392
1411848,0,0.01,31.8,374,358,400
1411911,0,0.01,31.7,377,360,400




System output with now air and only vibrations
System Initializing...
Keep airflow OFF and system STILL for calibration...
System Initializing...
Keep airflow OFF and system STILL for calibration...
Raw,Delta,Flow,TempC,AccX,AccY,AccZ
1354366,0,0.00,29.7,706,392,363
1354746,0,0.00,29.7,531,392,364
1355122,0,0.00,29.7,516,392,364
1355470,0,0.00,29.7,517,392,364
1355879,0,0.00,29.6,537,392,364
1356215,0,0.00,29.7,559,392,364
1356554,0,0.00,29.7,542,392,364
1356895,0,0.00,29.6,519,392,364
1357318,0,0.00,29.7,515,392,364
1357682,0,0.00,29.6,524,392,364
1358061,0,0.00,29.6,554,392,364
1358410,0,0.00,29.6,558,392,364
1358755,0,0.00,29.7,528,392,364
1359109,0,0.00,29.6,516,392,364
1359468,0,0.00,29.7,519,392,364
1359775,0,0.00,29.8,539,392,364
1360165,0,0.00,29.6,561,392,364
1360485,0,0.00,29.6,544,392,364
1360836,0,0.00,29.6,520,392,364
1361216,0,0.00,29.6,517,392,364
1361548,0,0.00,29.7,526,392,364
1361834,0,0.00,29.6,556,392,364
1362212,0,0.00,29.6,558,392,364
1362557,0,0.00,29.7,528,392,364
1362906,0,0.00,29.6,518,392,364
1363225,0,0.00,29.6,521,392,364
1363549,0,0.00,29.8,541,392,364
1363870,0,0.00,29.6,562,392,364
